stock_symbol,stock_price,stock_name
20MICRONS,310,20 Microns Limited
3IINFOLTD,27.66,21st Century Management Services Limited
5PAISA,510.95,360 ONE WAM LIMITED
3MINDIA,33851.1,3i Infotech Limited
21STCENMGM,120.24,3M India Limited
A2ZINFRA,17.62,3P Land Holdings Limited
AAATECH,128.5,5Paisa Capital Limited
360ONE,1105,63 moons technologies limited
63MOONS,469.75,A2Z Infra Engineering Limited
3PLAND,37.25,AAA Technologies Limited
AAREYDRUGS,63.41,Aadhar Housing Finance Limited
AARTIDRUGS,495,Aakash Exploration Services Limited
AARTECH,64.35,Aarey Drugs & Pharmaceuticals Limited
AARTIPHARM,604.1,Aaron Industries Limited
AARON,265,Aartech Solonics Limited
AARVEEDEN,47,Aarti Drugs Limited
AARTIIND,508,Aarti Industries Limited
AARTISURF,198,Aarti Pharmalabs Limited
AAKASH,11,Aarti Surfactants Limited
AADHARHFC,447,Aarvee Denims & Exports Limited
ABCAPITAL,215.04,Aarvi Encon Limited
AAVAS,1709.8,Aavas Financiers Limited
ABFRL,323,Aban Offshore Limited
ABREL,3010.85,ABB India Limited
ABB,8287,Abbott India Limited
ABDL,317.5,Aditya Birla Capital Limited
AARVI,150.5,Allied Blenders and Distillers Limited
ABBOTINDIA,29220,Aditya Birla Fashion and Retail Limited
ABAN,67.41,ABM International Limited
ABMINTLLTD,74.91,Aditya Birla Real Estate Limited
ACE,1387.8,Aditya Birla Sun Life AMC Limited
ACCELYA,1645,ACC Limited
ACC,2301.5,Accelya Solutions India Limited
ACCURACY,10.18,Accuracy Shipping Limited
ABSLAMC,754.05,Action Construction Equipment Limited
ACLGATI,104,Ace Integrated Solutions Limited
ACL,87.35,Archean Chemical Industries Limited
ACI,643.95,Andhra Cements Limited
ACEINTEG,33.45,Allcargo Gati Limited
ADANIENT,2932,Adani Energy Solutions Limited
ADANIENSOL,1019.85,Adani Enterprises Limited
ADANIGREEN,1706.5,Adani Green Energy Limited
ADANIPOWER,602.4,Adani Ports and Special Economic Zone Limited
ADANIPORTS,1375.8,Adani Power Limited
ADL,98.01,ADF Foods Limited
ADROITINFO,20.3,Archidply Decor Limited
ADORWELD,1330.1,Ador Welding Limited
